timestamp;id;rating;18_group;is_mi;fall_1;fall_2;fall_3;spring_1;spring_2;spring_3;is_first_time;percentile;17_group;blended;is_ml_student
2020-05-18 00:11:46;2d23e58ee8e952b48da12adcb71f2db0;1138;;;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Безопасность компьютерных систем;Обучение с подкреплением;Методы сжатия и передачи медиаданных;Компьютерное зрение;Да;0,565217391;171;DevOps;
2020-05-18 10:22:58;db450211a009799155ed6494957be8c7;1183;;;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Сбор и обработка данных с помощью краудсорсинга;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Да;0,398550725;172;DevOps;
2020-05-18 10:52:38;d81070e804b5757d118efba759e707e8;1228;;;Байесовские методы машинного обучения;Анализ неструктурированных данных;Сбор и обработка данных с помощью краудсорсинга;Обучение с подкреплением;Компьютерное зрение;Проектирование и разработка высоконагруженных сервисов;Да;0,217391304;171;DevOps;
2020-05-18 11:19:44;ce2a9120d5581dcd8bd0d6252918c9ec;1100;;;Statistical Learning Theory;Моделирование временных рядов;Глубинное обучение в обработке звука;Компьютерное зрение;Символьные вычисления;Методы сжатия и передачи медиаданных;Да;0,702898551;173;Соревновательный анализ данных;
2020-05-18 12:39:48;7fe7df0d207babbf30249b3063ac1f26;1365;;;Высокопроизводительные вычисления;Сбор и обработка данных с помощью краудсорсинга;Моделирование временных рядов;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Методы сжатия и передачи медиаданных;Да;0,007246377;175;DevOps;
2020-05-18 12:40:49;5d76b97bcf684f8a1ec03057dd94d416;1257;;;Высокопроизводительные вычисления;Сбор и обработка данных с помощью краудсорсинга;Моделирование временных рядов;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Методы сжатия и передачи медиаданных;Да;0,137681159;175;DevOps;
2020-05-18 12:49:52;df4d59dca630b474f77b0103cac53b52;1246;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Анализ неструктурированных данных;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Конфликты и кооперация;Да;0,15942029;175;DevOps;
2020-05-18 13:07:09;29d0fcf21c4db938fae688bb09078f8d;1166;;;Сбор и обработка данных с помощью краудсорсинга;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Конфликты и кооперация;Обучение с подкреплением;Компьютерное зрение;Да;0,456521739;172;Соревновательный анализ данных;
2020-05-18 13:24:27;4df9699d2022802f80b3e6426d6976d7;1276;;;Безопасность компьютерных систем;Statistical Learning Theory;Моделирование временных рядов;Компьютерное зрение;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Да;0,108695652;173;Введение в дифференциальную геометрию;
2020-05-18 13:31:46;9775834d44b69d181c5fb0c0af57c783;1231;;;Байесовские методы машинного обучения;Анализ неструктурированных данных;Глубинное обучение в обработке звука;Обучение с подкреплением;Генеративные модели в машинном обучении;Компьютерное зрение;Да;0,210144928;171;DevOps;
2020-05-18 13:43:48;6ef08b5cfd42ecdd713466cb4b7b41b7;1139;;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Моделирование временных рядов;Конфликты и кооперация;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Да;0,557971014;176;DevOps;
2020-05-18 13:51:01;c749f69f66d40cdfb3821745951be896;1017;;;Анализ неструктурированных данных;Сбор и обработка данных с помощью краудсорсинга;Моделирование временных рядов;Обучение с подкреплением;Проектирование и разработка высоконагруженных сервисов;Компьютерное зрение;Да;0,934782609;172;DevOps;
2020-05-18 14:29:51;fecff7bd30995d16b59fb392d47b3760;1278;;;Анализ неструктурированных данных;Безопасность компьютерных систем;Байесовские методы машинного обучения;Обучение с подкреплением;Компьютерное зрение;Генеративные модели в машинном обучении;Да;0,094202899;171;DevOps;
2020-05-18 14:34:20;15163c0c088c0ba42e1c77c9f3eabc81;1235;;;Глубинное обучение в обработке звука;Сбор и обработка данных с помощью краудсорсинга;Моделирование временных рядов;Конфликты и кооперация;Методы сжатия и передачи медиаданных;Символьные вычисления;Да;0,202898551;177;Введение в дифференциальную геометрию;
2020-05-18 14:55:38;0d85933f07516e8871e9415c1d95ddbe;1202;;;Высокопроизводительные вычисления;Высокопроизводительные вычисления;Высокопроизводительные вычисления;Методы сжатия и передачи медиаданных;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Да;0,31884058;175;DevOps;
2020-05-18 15:11:26;f36d508e6129c7b248cc707b71c2a551;1184;;;Statistical Learning Theory;Сбор и обработка данных с помощью краудсорсинга;Байесовские методы машинного обучения;Компьютерное зрение;Генеративные модели в машинном обучении;Численные методы;Да;0,391304348;171;Соревновательный анализ данных;
2020-05-18 15:22:12;a207faa550aba9ebf30537be445012cc;1238;;;Глубинное обучение в обработке звука;Безопасность компьютерных систем;Высокопроизводительные вычисления;Проектирование и разработка высоконагруженных сервисов;Обучение с подкреплением;Компьютерное зрение;Да;0,18115942;175;DevOps;
2020-05-18 15:27:12;5bb63d6635c5f4c530b727fe1d6d84bf;1178;;;Глубинное обучение в обработке звука;Высокопроизводительные вычисления;Безопасность компьютерных систем;Методы сжатия и передачи медиаданных;Конфликты и кооперация;Численные методы;Да;0,420289855;176;DevOps;
2020-05-18 17:26:18;8cc921fb155319d983cf72e9a6e8caa8;1201;;;Statistical Learning Theory;Высокопроизводительные вычисления;Байесовские методы машинного обучения;Проектирование и разработка высоконагруженных сервисов;Методы сжатия и передачи медиаданных;Символьные вычисления;Да;0,326086957;173;Введение в дифференциальную геометрию;
